secao;divisao;grupo;classe;subclasse_cod_cnae;desc_cnae;desc_classe
;1;11;1113;111301;Cultivo de arroz;Cultivo de cereais
;1;11;1113;111302;Cultivo de milho;Cultivo de cereais
;1;11;1113;111303;Cultivo de trigo;Cultivo de cereais
;1;11;1113;111399;Cultivo de outros cereais não especificados anteriormente;Cultivo de cereais
;1;11;1121;112101;Cultivo de algodão herbáceo;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
;1;11;1121;112102;Cultivo de juta;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
;1;11;1121;112199;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
;1;11;1130;113000;Cultivo de cana-de-açúcar;Cultivo de cana-de-açúcar
;1;11;1148;114800;Cultivo de fumo;Cultivo de fumo
;1;11;1156;115600;Cultivo de soja;Cultivo de soja
;1;11;1164;116401;Cultivo de amendoim;Cultivo de oleaginosas de lavoura temporária, exceto soja
;1;11;1164;116402;Cultivo de girassol;Cultivo de oleaginosas de lavoura temporária, exceto soja
;1;11;1164;116403;Cultivo de mamona;Cultivo de oleaginosas de lavoura temporária, exceto soja
;1;11;1164;116499;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;Cultivo de oleaginosas de lavoura temporária, exceto soja
;1;11;1199;119901;Cultivo de abacaxi;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;11;1199;119902;Cultivo de alho;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;11;1199;119903;Cultivo de batata-inglesa;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;11;1199;119904;Cultivo de cebola;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;11;1199;119905;Cultivo de feijão;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;11;1199;119906;Cultivo de mandioca;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;11;1199;119907;Cultivo de melão;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;11;1199;119908;Cultivo de melancia;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;11;1199;119909;Cultivo de tomate rasteiro;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;11;1199;119999;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;Cultivo de plantas de lavoura temporária não especificadas anteriormente
;1;12;1211;121101;Horticultura, exceto morango;Horticultura
;1;12;1211;121102;Cultivo de morango;Horticultura
;1;12;1229;122900;Cultivo de flores e plantas ornamentais;Cultivo de flores e plantas ornamentais
;1;13;1318;131800;Cultivo de laranja;Cultivo de laranja
;1;13;1326;132600;Cultivo de uva;Cultivo de uva
;1;13;1334;133401;Cultivo de açaí;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133402;Cultivo de banana;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133403;Cultivo de caju;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133404;Cultivo de cítricos, exceto laranja;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133405;Cultivo de coco-da-baía;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133406;Cultivo de guaraná;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133407;Cultivo de maçã;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133408;Cultivo de mamão;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133409;Cultivo de maracujá;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133410;Cultivo de manga;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133411;Cultivo de pêssego;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1334;133499;Cultivo de frutas de lavoura permanente não especificadas anteriormente;Cultivo de frutas de lavoura permanente, exceto laranja e uva
;1;13;1342;134200;Cultivo de café;Cultivo de café
;1;13;1351;135100;Cultivo de cacau;Cultivo de cacau
;1;13;1393;139301;Cultivo de chá-da-índia;Cultivo de plantas de lavoura permanente não especificadas anteriormente
;1;13;1393;139302;Cultivo de erva-mate;Cultivo de plantas de lavoura permanente não especificadas anteriormente
;1;13;1393;139303;Cultivo de pimenta-do-reino;Cultivo de plantas de lavoura permanente não especificadas anteriormente
;1;13;1393;139304;Cultivo de plantas para condimento, exceto pimenta-do-reino;Cultivo de plantas de lavoura permanente não especificadas anteriormente
;1;13;1393;139305;Cultivo de dendê;Cultivo de plantas de lavoura permanente não especificadas anteriormente
;1;13;1393;139306;Cultivo de seringueira;Cultivo de plantas de lavoura permanente não especificadas anteriormente
;1;13;1393;139399;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;Cultivo de plantas de lavoura permanente não especificadas anteriormente
;1;14;1415;141501;Produção de sementes certificadas, exceto de forrageiras para pasto;Produção de sementes certificadas
;1;14;1415;141502;Produção de sementes certificadas de forrageiras para formação de pasto;Produção de sementes certificadas
;1;14;1423;142300;Produção de mudas e outras formas de propagação vegetal, certificadas;Produção de mudas e outras formas de propagação vegetal, certificadas
;1;15;1512;151201;Criação de bovinos para corte;Criação de bovinos
;1;15;1512;151202;Criação de bovinos para leite;Criação de bovinos
;1;15;1512;151203;Criação de bovinos, exceto para corte e leite;Criação de bovinos
;1;15;1521;152101;Criação de bufalinos;Criação de outros animais de grande porte
;1;15;1521;152102;Criação de eqüinos;Criação de outros animais de grande porte
;1;15;1521;152103;Criação de asininos e muares;Criação de outros animais de grande porte
;1;15;1539;153901;Criação de caprinos;Criação de caprinos e ovinos
;1;15;1539;153902;Criação de ovinos, inclusive para produção de lã;Criação de caprinos e ovinos
;1;15;1547;154700;Criação de suínos;Criação de suínos
;1;15;1555;155501;Criação de frangos para corte;Criação de aves
